date,positive,negative,neutral,non_irony,irony,non-hate,hate,non-offensive,offensive
2022-10-02,0.45,0.26,0.29,0.73,0.27,1.0,0.0,0.9,0.1
2022-10-03,0.42,0.27,0.31,0.86,0.14,0.97,0.03,0.89,0.11
2022-10-04,0.41,0.21,0.38,0.87,0.13,0.97,0.03,0.91,0.09
2022-10-05,0.46,0.18,0.36,0.81,0.19,0.98,0.02,0.89,0.11
2022-10-06,0.33,0.24,0.43,0.83,0.17,1.0,0.0,0.89,0.11
2022-10-07,0.43,0.17,0.4,0.83,0.17,0.99,0.01,0.9,0.1
2022-10-08,0.44,0.18,0.38,0.82,0.18,0.99,0.01,0.89,0.11
2022-10-09,0.45,0.21,0.34,0.76,0.24,1.0,0.0,0.88,0.12
2022-10-10,0.44,0.21,0.35,0.79,0.21,0.98,0.02,0.91,0.09
2022-10-11,0.4,0.22,0.38,0.81,0.19,0.99,0.01,0.88,0.12
2022-10-12,0.37,0.36,0.27,0.77,0.23,0.99,0.01,0.83,0.17
2022-10-13,0.34,0.27,0.39,0.77,0.23,0.99,0.01,0.88,0.12
2022-10-14,0.5,0.21,0.29,0.78,0.22,0.99,0.01,0.85,0.15
2022-10-15,0.46,0.21,0.33,0.83,0.17,0.99,0.01,0.91,0.09
2022-10-16,0.48,0.16,0.36,0.8,0.2,1.0,0.0,0.88,0.12
2022-10-17,0.47,0.25,0.28,0.81,0.19,1.0,0.0,0.85,0.15
2022-10-18,0.45,0.29,0.26,0.77,0.23,0.97,0.03,0.88,0.12
2022-10-19,0.4,0.29,0.31,0.77,0.23,1.0,0.0,0.87,0.13
2022-10-20,0.42,0.31,0.27,0.83,0.17,0.97,0.03,0.9,0.1
2022-10-21,0.51,0.17,0.32,0.82,0.18,1.0,0.0,0.95,0.05
2022-10-22,0.39,0.26,0.35,0.85,0.15,1.0,0.0,0.91,0.09
2022-10-23,0.38,0.34,0.28,0.7,0.3,0.99,0.01,0.86,0.14
2022-10-24,0.47,0.25,0.28,0.75,0.25,0.99,0.01,0.89,0.11
2022-10-25,0.46,0.21,0.33,0.81,0.19,1.0,0.0,0.85,0.15
2022-10-26,0.4,0.27,0.33,0.76,0.24,0.99,0.01,0.92,0.08
2022-10-27,0.39,0.16,0.45,0.86,0.14,1.0,0.0,0.94,0.06
2022-10-28,0.47,0.21,0.32,0.86,0.14,1.0,0.0,0.94,0.06
